"","SKU.Code","Design.No.","Stock","Category","Size","Color"
"72","BL086-XXL","BL086",3,"BLOUSE","XXL","Blue"
"73","BL087-L","BL087",48,"BLOUSE","L","Multicolor"
"74","BL087-M","BL087",89,"BLOUSE","M","Multicolor"
"75","BL087-S","BL087",11,"BLOUSE","S","Multicolor"
"76","BL087-XL","BL087",5,"BLOUSE","XL","Multicolor"
"77","BL087-XS","BL087",18,"BLOUSE","XS","Multicolor"
"78","BL087-XXL","BL087",86,"BLOUSE","XXL","Multicolor"
"79","BL089-L","BL089",4,"BLOUSE","L","Multicolor"
"80","BL089-M","BL089",4,"BLOUSE","M","Multicolor"
"81","BL089-S","BL089",3,"BLOUSE","S","Multicolor"
"82","BL089-XL","BL089",8,"BLOUSE","XL","Multicolor"
"83","BL089-XS","BL089",4,"BLOUSE","XS","Multicolor"
"84","BL089-XXL","BL089",7,"BLOUSE","XXL","Multicolor"
"85","BL090-L","BL090",30,"BLOUSE","L","Peach"
"86","BL090-M","BL090",44,"BLOUSE","M","Peach"
"87","BL090-S","BL090",11,"BLOUSE","S","Peach"
"88","BL090-XL","BL090",16,"BLOUSE","XL","Peach"
"89","BL090-XS","BL090",29,"BLOUSE","XS","Peach"
"90","BL090-XXL","BL090",19,"BLOUSE","XXL","Peach"
"91","BL091-L","BL091",4,"BLOUSE","L","Multicolor"
"92","BL091-M","BL091",4,"BLOUSE","M","Multicolor"
"93","BL091-S","BL091",7,"BLOUSE","S","Multicolor"
"94","BL091-XL","BL091",3,"BLOUSE","XL","Multicolor"
"95","BL091-XS","BL091",7,"BLOUSE","XS","Multicolor"
"96","BL091-XXL","BL091",3,"BLOUSE","XXL","Multicolor"
"97","BL092-L","BL092",20,"BLOUSE","L","Blue"
"98","BL092-M","BL092",22,"BLOUSE","M","Blue"
"99","BL092-S","BL092",13,"BLOUSE","S","Blue"
"100","BL092-XL","BL092",27,"BLOUSE","XL","Blue"
"101","BL092-XS","BL092",17,"BLOUSE","XS","Blue"
"102","BL092-XXL","BL092",25,"BLOUSE","XXL","Blue"
"103","BL093-L","BL093",2,"BLOUSE","L","Grey"
"104","BL093-M","BL093",2,"BLOUSE","M","Grey"
"105","BL093-S","BL093",11,"BLOUSE","S","Grey"
"106","BL093-XL","BL093",4,"BLOUSE","XL","Grey"
"107","BL093-XS","BL093",4,"BLOUSE","XS","Grey"
"108","BL093-XXL","BL093",3,"BLOUSE","XXL","Grey"
"109","BL095-L","BL095",51,"BLOUSE","L","Multicolor"
